Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Aether Hub,0.31,28,0,8.68,0.00,0.60725,8,4.858,2.378,96%,0.3995,2,0.799,0.179,29%,0.36,2,0.72,0.1,16%,0.45,12,5.4,1.68,45%,0.49,4,1.96,0.72,58%,,,,,,,
Aether Hub,0.31,20,0,6.20,0.00,0.34,4,1.36,0.12,10%,0.33,8,2.64,0.16,6%,0.3485,8,2.788,0.308,12%,,,,,,,,,,,,,,,,,
Aether Hub,0.3,28,0,8.40,0.00,0.3995,1,0.3995,0.0995,33%,0.39,7,2.73,0.63,30%,0.28,8,2.24,-0.16,-7%,0.31,8,2.48,0.08,3%,0.34,4,1.36,0.16,13%,,1778,,,,,
Aether Hub,0.3,24,0,7.20,0.00,0.58,8,4.64,2.24,93%,0.53,4,2.12,0.92,77%,0.32,4,1.28,0.08,7%,0.3485,4,1.394,0.194,16%,0.3655,4,1.462,0.262,22%,,,,,,,
Aether Hub,0.29,35,0,10.15,0.00,0.56,8,4.48,2.16,93%,0.3995,4,1.598,0.438,38%,0.25,12,3,-0.48,-14%,0.3655,10,3.655,0.755,26%,0.3995,1,0.3995,0.1095,38%,,,,,,,
Aether Hub,0.29,29,0,8.41,0.00,,,,,,0.374,8,2.992,0.672,29%,0.35,12,4.2,0.72,21%,0.38,4,1.52,0.36,31%,0.37,5,1.85,0.4,28%,,,,,,,
Aether Hub,0.28,28,0,7.84,0.00,0.44,8,3.52,1.28,57%,0.306,8,2.448,0.208,9%,0.37,3,1.11,0.27,32%,0.36,4,1.44,0.32,29%,0.34,5,1.7,0.3,21%,,,,,,,
Aether Hub,0.27,20,0,5.40,0.00,0.28,4,1.12,0.04,4%,0.4,4,1.6,0.52,48%,0.28,4,1.12,0.04,4%,0.35,4,1.4,0.32,30%,0.59,4,2.36,1.28,119%,,,,,,,
Aether Hub,0.27,4,0,1.08,0.00,0.34,3,1.02,0.21,26%,0.3315,1,0.3315,0.0615,23%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.26,36,0,9.36,0.00,0.38,4,1.52,0.48,46%,0.41,8,3.28,1.2,58%,0.357,8,2.856,0.776,37%,0.27,8,2.16,0.08,4%,0.408,8,3.264,1.184,57%,,,,,,,
Aether Hub,0.26,8,0,2.08,0.00,0.442,8,3.536,1.456,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.25,36,0,9.00,0.00,0.44,4,1.76,0.76,76%,0.36,12,4.32,1.32,44%,0.4,12,4.8,1.8,60%,0.34,4,1.36,0.36,36%,0.3315,4,1.326,0.326,33%,,,,0.138633414,,,
Aether Hub,0.24,51,0,12.24,0.00,0.37,4,1.48,0.52,54%,0.35,16,5.6,1.76,46%,0.41,16,6.56,2.72,71%,0.3315,3,0.9945,0.2745,38%,0.34,12,4.08,1.2,42%,,,,,,,
Aether Hub,0.24,23,0,5.52,0.00,0.357,9,3.213,1.053,49%,0.34,8,2.72,0.8,42%,0.357,6,2.142,0.702,49%,,,,,,,,,,,,,,,,,
Aether Hub,0.23,80,0,18.40,0.00,0.455,8,3.64,1.8,98%,0.35,24,8.4,2.88,52%,0.36,24,8.64,3.12,57%,0.41,8,3.28,1.44,78%,0.34,16,5.44,1.76,48%,,,,,,,
Aether Hub,0.23,4,0,0.92,0.00,0.289,4,1.156,0.236,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.22,64,0,14.08,0.00,0.44,16,7.04,3.52,100%,0.33,8,2.64,0.88,50%,0.34,12,4.08,1.44,55%,0.3,8,2.4,0.64,36%,0.37,20,7.4,3,68%,,,,,,,
Aether Hub,0.22,8,0,1.76,0.00,0.289,4,1.156,0.276,31%,0.2975,4,1.19,0.31,35%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.21,64,0,13.44,0.00,0.34,8,2.72,1.04,62%,0.44,24,10.56,5.52,110%,0.38,16,6.08,2.72,81%,0.31,8,2.48,0.8,48%,0.28,8,2.24,0.56,33%,,170.935,,,,,
Aether Hub,0.21,12,0,2.52,0.00,0.357,7,2.499,1.029,70%,0.493,1,0.493,0.283,135%,0.2975,4,1.19,0.35,42%,,,,,,,,,,,,,,,,,
Aether Hub,0.2,40,0,8.00,0.00,0.27,4,1.08,0.28,35%,0.32,16,5.12,1.92,60%,0.372,8,2.976,1.376,86%,0.33,8,2.64,1.04,65%,0.36,4,1.44,0.64,80%,,,,,,,
Aether Hub,0.2,44,21,8.80,4.20,0.56,12,6.72,4.32,180%,0.34,4,1.36,0.56,70%,0.493,7,3.451,2.051,147%,,,,,,,,,,,,,,,,,
Aether Hub,0.19,96,32,18.24,6.08,0.374,4,1.496,0.736,97%,0.3825,8,3.06,1.54,101%,0.25,8,2,0.48,32%,0.415,28,11.62,6.3,118%,0.435,16,6.96,3.92,129%,,,,,,,
Aether Hub,0.18,84,52,15.12,9.36,0.33,4,1.32,0.6,83%,0.38,16,6.08,3.2,111%,0.32,8,2.56,1.12,78%,0.26,4,1.04,0.32,44%,,,,,,,,,,,,
Aether Hub,0.17,56,44,9.52,7.48,0.38,4,1.52,0.84,124%,0.221,8,1.768,0.408,30%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.16,24,12,3.84,1.92,0.425,8,3.4,2.12,166%,0.64,4,2.56,1.92,300%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.15,48,28,7.20,4.20,0.6715,6,4.029,3.129,348%,0.64,4,2.56,1.96,327%,0.63,4,2.52,1.92,320%,0.62,4,2.48,1.88,313%,0.53,2,1.06,0.76,253%,,,,,,,
Aether Hub,0.14,12,8,1.68,1.12,0.61,4,2.44,1.88,336%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.13,52,36,6.76,4.68,0.61,4,2.44,1.92,369%,0.59,8,4.72,3.68,354%,0.53,4,2.12,1.6,308%,,,,,,,,,,,,,,,,,
Aether Hub,0.12,28,24,3.36,2.88,0.527,4,2.108,1.628,339%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.11,24,12,2.64,1.32,0.59,4,2.36,1.92,436%,0.58,8,4.64,3.76,427%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.1,32,32,3.20,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.09,48,48,4.32,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.08,4,4,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.07,12,12,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.06,4,4,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.05,12,4,0.60,0.20,0.051,8,0.408,0.008,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.04,12,0,0.48,0.00,0.0425,12,0.51,0.03,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.03,16,0,0.48,0.00,0.0425,8,0.34,0.1,42%,0.034,8,0.272,0.032,13%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub,0.02,40,0,0.80,0.00,0.0255,16,0.408,0.088,28%,0.034,16,0.544,0.224,70%,0.0425,8,0.34,0.18,113%,,,,,,,,,,,,,,,,,
Aether Hub,0.01,200,136,2.00,1.36,0.0425,32,1.36,1.04,325%,0.034,32,1.088,0.768,240%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.15,4,0,0.60,0.00,0.26,4,1.04,0.44,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.12,4,0,0.48,0.00,0.25,4,1,0.52,108%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.09,12,4,1.08,0.36,0.23,4,0.92,0.56,156%,0.22,4,0.88,0.52,144%,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.08,8,8,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.07,12,12,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.06,12,12,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Hub - PRM,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Meltdown,0.002,100,52,0.20,0.10,0.0425,24,1.02,0.972,2025%,0.034,16,0.544,0.512,1600%,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,
Aethersphere Harvester,0.63,8,0,5.04,0.00,1.107,4,4.428,1.908,76%,1.19,4,4.76,2.24,89%,,,,,,,,,,,,,,,,,,,,,,
Aethersphere Harvester,0.57,4,0,2.28,0.00,1.15,4,4.6,2.32,102%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethersphere Harvester,0.56,4,0,2.24,0.00,0.57,4,2.28,0.04,2%,,,,,,,,,,,,,,,,,,,,,,14.316,,,,,
Aethersphere Harvester,0.43,4,0,1.72,0.00,1.152,4,4.608,2.888,168%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethersphere Harvester,0.32,8,0,2.56,0.00,0.56,4,2.24,0.96,75%,0.55,4,2.2,0.92,72%,,,,,,,,,,,,,,,,,,,,,,
Aethersphere Harvester,0.2,4,0,0.80,0.00,0.96,4,3.84,3.04,380%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethersquall Ancient,0.009,8,8,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesterstorm Roc,0.009,8,8,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethertide Whale,0.005,72,44,0.36,0.22,0.04,12,0.48,0.42,700%,0.05,8,0.4,0.36,900%,0.07,8,0.56,0.52,1300%,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.76,4,0,3.04,0.00,1.24,4,4.96,1.92,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.31,8,8,2.48,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.19,4,4,0.76,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.15,8,8,1.20,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.13,8,8,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.12,8,8,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.1,4,4,0.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.08,8,8,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.07,20,20,1.40,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.06,8,8,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.05,12,12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.04,12,12,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.03,28,28,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherwind Basker,0.02,4,4,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,3.01,2,0,6.02,0.00,3.96,2,7.92,1.9,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,3.59,4,0,14.36,0.00,1.16,4,4.64,-9.72,-68%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.17,4,0,0.68,0.00,0.204,4,0.816,0.136,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.16,8,0,1.28,0.00,0.204,4,0.816,0.176,28%,0.18,4,0.72,0.08,13%,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.14,16,0,2.24,0.00,0.17,4,0.68,0.12,21%,0.17,8,1.36,0.24,21%,0.19,4,0.76,0.2,36%,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.12,8,0,0.96,0.00,0.18,4,0.72,0.24,50%,0.17,4,0.68,0.2,42%,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.11,8,4,0.88,0.44,0.17,4,0.68,0.24,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.1,12,12,1.20,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherworks Marvel,0.09,8,8,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahn-Crop Crasher,0.002,100,92,0.20,0.18,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajani Unyielding,0.96,8,8,7.68,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajani Unyielding,0.905,8,8,7.24,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajani Unyielding,0.74,4,4,2.96,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajani Unyielding,0.55,8,8,4.40,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akoum Firebird,0.1,2,0,0.20,0.00,0.391,2,0.782,0.582,291%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akoum Hellkite - Foil,0.02,4,4,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akoum Hellkite,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aligned Hedron Network,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altar of the Brood,0.009,4,4,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altered Ego,0.01,16,12,0.16,0.12,0.017,4,0.068,0.028,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.16,4,0,0.64,0.00,0.1615,4,0.646,0.006,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.1,16,0,1.60,0.00,0.14,4,0.56,0.16,40%,0.18,12,2.16,0.96,80%,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.09,8,0,0.72,0.00,0.09,4,0.36,0,0%,0.18,4,0.72,0.36,100%,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.08,12,0,0.96,0.00,0.1785,4,0.714,0.394,123%,0.085,4,0.34,0.02,6%,0.2,4,0.8,0.48,150%,,,,,,,,,,,,,,,,,
Always Watching,0.07,8,0,0.56,0.00,0.102,4,0.408,0.128,46%,0.08,4,0.32,0.04,14%,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.06,16,0,0.96,0.00,0.08,4,0.32,0.08,33%,0.12,8,0.96,0.48,100%,0.19,4,0.76,0.52,217%,,,,,,,,,,,,,,,,,
Always Watching,0.05,12,0,0.60,0.00,0.12,4,0.48,0.28,140%,0.16,8,1.28,0.88,220%,,,,,,,,,,,,,,,,,26.132,,,,,
Always Watching,0.04,12,0,0.48,0.00,0.16,4,0.64,0.48,300%,0.43,4,1.72,1.56,975%,0.48,4,1.92,1.76,1100%,,,,,,,,,,,,,,,,,
Always Watching,0.03,4,0,0.12,0.00,0.18,4,0.72,0.6,500%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Watching,0.02,28,0,0.56,0.00,0.17,4,0.68,0.6,750%,0.187,12,2.244,2.004,835%,0.48,4,1.92,1.84,2300%,0.43,4,1.72,1.64,2050%,0.544,4,2.176,2.096,2620%,,,,,,,
Always Watching,0.01,24,0,0.24,0.00,0.102,8,0.816,0.736,920%,0.187,4,0.748,0.708,1770%,0.544,4,2.176,2.136,5340%,0.6545,8,5.236,5.156,6445%,,,,,,,,,,,,
Ammit Eternal,1.47,4,0,5.88,0.00,0.954,4,3.816,-2.064,-35%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammit Eternal,0.38,8,0,3.04,0.00,0.697,8,5.576,2.536,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammit Eternal,0.25,8,8,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammit Eternal,0.22,8,8,1.76,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Recall,7.21,1,1,7.21,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel of Deliverance,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel of Despair,0.16,2,2,0.32,0.32,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Grace,0.6,8,8,4.80,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguished Unmaking,0.07,5,0,0.35,0.00,0.1,5,0.5,0.15,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguished Unmaking,0.06,2,0,0.12,0.00,0.1,2,0.2,0.08,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguished Unmaking,0.05,24,0,1.20,0.00,0.16,8,1.28,0.88,220%,0.19,4,0.76,0.56,280%,0.306,8,2.448,2.048,512%,0.323,4,1.292,1.092,546%,,,,,,,,,,,,
Animation Module,0.01,52,0,0.52,0.00,0.0425,8,0.34,0.26,325%,0.08,28,2.24,1.96,700%,0.06,4,0.24,0.2,500%,0.11,8,0.88,0.8,1000%,0.1,4,0.4,0.36,900%,,,,,,,
Animation Module,0.01,32,12,0.32,0.12,0.051,8,0.408,0.328,410%,0.1,4,0.4,0.36,900%,0.136,8,1.088,1.008,1260%,,,,,,,,,,,,,,,,,
Anointed Procession,0.6,8,0,4.80,0.00,0.697,8,5.576,0.776,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.26,12,12,3.12,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.25,12,0,3.00,0.00,0.34,4,1.36,0.36,36%,0.33,8,2.64,0.64,32%,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.22,4,4,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.2,8,0,1.60,0.00,0.26,4,1.04,0.24,30%,0.25,4,1,0.2,25%,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.19,8,0,1.52,0.00,0.32,8,2.56,1.04,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.16,8,0,1.28,0.00,0.26,4,1.04,0.4,63%,0.25,4,1,0.36,56%,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.14,28,0,3.92,0.00,0.2125,6,1.275,0.435,52%,0.29,8,2.32,1.2,107%,0.27,4,1.08,0.52,93%,0.35,4,1.4,0.84,150%,0.34,6,2.04,1.2,143%,,,,,,,
Anointed Procession,0.13,16,0,2.08,0.00,0.28,4,1.12,0.6,115%,0.34,6,2.04,1.26,162%,0.67,2,1.34,1.08,415%,0.66,4,2.64,2.12,408%,,,,,,,,,,,,
Anointed Procession,0.12,20,0,2.40,0.00,0.27,8,2.16,1.2,125%,0.26,4,1.04,0.56,117%,0.67,8,5.36,4.4,458%,,,,,,,,,,,,66.816,,,,,
Anointed Procession,0.11,20,0,2.20,0.00,0.5,4,2,1.56,355%,0.49,8,3.92,3.04,345%,0.67,2,1.34,1.12,509%,0.43,6,2.58,1.92,291%,,,,,,,,,,,,
Anointed Procession,0.1,22,0,2.20,0.00,0.59,4,2.36,1.96,490%,0.6,8,4.8,4,500%,0.84,4,3.36,2.96,740%,0.43,2,0.86,0.66,330%,0.42,4,1.68,1.28,320%,,,,,,,
